"Folder","Result","OD_mm","ID_R_mm","Thick_mm","Vol_mm3"
"round232_EV-L200-BP-small-spacer","PASS","44.7","","4",""
"round233_EV-M502-MP-finger-v0002","PASS","81","","20.5",""
"round234_MAG-A14-EV-M-BP-v0001","PASS","104.9","","119.7",""
"round235_EV-X100-MP-M-2","PASS","70","","21.5",""
"round236_EV-M20-G-side","PASS","100","","35",""
"round237_EV-M20-G-side-v0003","PASS","100","","35",""
"round238_EV-M20-M-side","PASS","104","","22.5",""
"round239_EV-M20-M-side-v0002","PASS","104","","22.5",""
"round24_SDE300_shaft_gasket","PASS","","22.5","","1109.935"
"round240_EV-M202N-MAG-A11","PASS","76.9","","151.65",""
"round241_EV-X100-MP-G","PASS","87.21","","31",""
"round242_KE-SL-049-HC60-C","PASS","43.5","","43.5",""
"round243_KMB601-oil-seal-spacer","PASS","60","","7.5",""
"round244_KMB602PT-oil-seal-spacer","PASS","62.1","","7.5",""
"round245_IGX-spacer-ring","PASS","61.3","","10.61",""
"round246_KE-SL-052-HC60-motor-sleeve","PASS","33","13.7443","23.5","6154.84"
"round247_EV-L200-MP-M-side-R","PASS","75","","21.5",""
"round248_KE-SL-056-v0002","PASS","81.45","","43.9",""
"round249_aluminum-spacer","PASS","49","","49",""
"round25_ring_magnet_40.8","PASS","","16.3","","1890.862"
"round250_KE-SL-011-ESR-MP-G","PASS","48","","15",""
"round251_KE-SL-009-ESR-MP-M","PASS","55","","11",""
"round252_KE-SL-050-HC60-D","PASS","32","","32",""
"round253_KE-SL-051-HC60-E","PASS","31.98","","12",""
"round254_KE-SL-048-HC60-B","PASS","31.98","","10",""
"round255_KE-SL-013","PASS","74.2","","74.2",""
"round256_KE-SL-006-AA-BP-G","PASS","52","","28",""
"round257_KE-SL-055-200N-BPG-finger","PASS","59","","28",""
"round258_EV-L200-BP-spacer","PASS","44.7","","4",""
"round259_EV-L200-BP-Flinger","PASS","62","","15.5",""
"round26_N52_44.4_magnet","PASS","","7.3","","30724.737"
"round260_SL-057-KMB1201-sleeve","PASS","78.1","","15",""
"round261_SL-057-KMB1202-sleeve","PASS","78.1","","15",""
"round262_IGX-spacer-ring","PASS","61.3","","10.61",""
"round263_PTFE-spacer-ring-1","PASS","307.7","","8",""
"round264_PTFE-spacer-ring","PASS","307.7","","3",""
"round265_KE-SL-001-ESA200-G","PASS","63","","29",""
"round266_KE-SL-002-ESA300MP-G","PASS","86.4","","86.4",""
"round267_KE-SL-003-ESA300MP-M","PASS","86.4","","86.4",""
"round268_KE-SL-004-AA-BP-M","PASS","52","","21",""
"round269_KE-SL-005-AA-MP-G","PASS","52","","27",""
"round27_KE-BH-007_ESR80","PASS","","38.8203","","50123.933"
"round270_KE-SL-007-AA-MP-M","PASS","52","","21",""
"round271_KE-SL-020-KMB2003","PASS","95","","43.2",""
"round272_KE-SL-021-MU100","PASS","25","","8.5",""
"round273_KE-SL-024-ESA200-MP-G","PASS","54.9","","33",""
"round274_KE-SL-037-A150-BP-G","PASS","73","","25",""
"round275_KE-SL-012-SDE300C","PASS","84","","47.5",""
"round276_KMB1203-sleeve","PASS","38","","50",""
"round277_KE-SL-032-ESA200-BP-G","PASS","54.9","","28",""
"round278_KE-SL-034-A150-MP-M","PASS","67","","37",""
"round279_KE-SL-035-A150-MP-G","PASS","67","","30",""
"round28_clamp_ring","PASS","","20.8991","","5791.155"
"round280_KE-SL-036-A150-BP-M","PASS","73","","32",""
"round281_KE-SL-042-MU600-BP","PASS","47.5","","47.5",""
"round282_KE-SL-046-SDE300C","PASS","84","","47.5",""
"round283_KMB1203E-sleeve","PASS","36.8","","45.4",""
"round284_KY-sleeve","PASS","97.5","","23",""
"round285_KMB603_1203-sleeve","PASS","64","","38.5",""
"round286_PEEK-spacer","PASS","63.5","","63.5",""
"round287_spacer-O-ring","PASS","29","","29",""
"round288_KE-SL-040-KMB1203-sleeve","PASS","38","","50",""
"round289_KE-SL-058-EV-S200P-BP","PASS","62","","15.5",""
"round29_M2x5_spring_pin","PASS","","2.2423","","7.603"
"round290_KE-SL-059-EV-M502-MP-finger","PASS","81","","20.5",""
"round291_SDE300-SS-sleeve-Leelon","PASS","112.6","","82",""
"round292_SDE300-SS-sleeve","PASS","112","","72.3",""
"round293_KE-SL-044-IXL500Q-part4","PASS","96","","96",""
"round294_KE-SL-044-IXL500Q-part3","PASS","75","","75",""
"round295_spacer-128k","PASS","20","","80",""
"round296_spacer-102k","PASS","20","","80",""
"round297_snap-ring-29.4x25","PASS","","","",""
"round298_bearing-retainer-ring","PASS","18","","18",""
"round299_motor-copper-spacer","PASS","60","","1",""
"round3_magnet","PASS","","8.5329","","12739.521"
"round30_KMB601_oil_seal_gasket","PASS","","22.5682","","9205.121"
"round300_end-ring-pour","PASS","48.2","","10.55",""
"round301_end-ring-flat","PASS","49","","13.5",""
"round302_axle-spacer","PASS","62","","0.8",""
"round303_ESR200-BP-flinger-semi","PASS","124","","1.5",""
"round304_bearing-bushing","PASS","52","","52",""
"round305_IGX-oil-disc","PASS","116","","1.2",""
"round306_belt-guide-wheel","PASS","72","","49.5",""
"round307_snap-ring-29.4x25-old","PASS","29.4","","29.18",""
"round308_ESR200-BP-flinger-final","PASS","123","","122.31",""
"round309_bearing-6902LU","PASS","28","","28",""
"round31_KMB602PT_oil_seal_62.1","PASS","","22.1067","","11201.263"
"round310_bearing-6001ZZ","PASS","28","","28",""
"round311_belt-wheel-bushing","PASS","15","","15",""
"round312_belt-guide-wheel-old","PASS","72","","49.5",""
"round313_shaft-sleeve","PASS","25","","70",""
"round314_wheel-axle-sleeve","PASS","70","","19",""
"round315_aluminum-bushing","PASS","12.01","","9.64",""
"round316_copper-bushing","PASS","13","","16",""
"round317_8inch-adapter-ring","PASS","208.3","","2",""
"round318_passive-ring","PASS","120","","100",""
"round319_PP-main-shaft-retainer","PASS","12.14","","0.6",""
"round32_SD120H_spacer","PASS","","22.1254","","7146.771"
"round320_PP-push-shaft-retainer","PASS","6.12","","0.4",""
"round321_tilter-motor-bushing","PASS","25.4","","24.91",""
"round322_aluminum-ring","PASS","52","","52",""
"round323_end-ring-2015","PASS","75.5","","75.5",""
"round324_sleeve-ring-2017","PASS","6.35","","6.1",""
"round325_inner-sleeve","PASS","580","","214",""
"round326_copper-sleeve","PASS","17.8","","5.3",""
"round327_trimming-bushing","PASS","35","","8.5",""
"round328_copper-ring-0001","PASS","8","","8",""
"round329_ss-bushing-2016","PASS","6.3","","10",""
"round33_gear","PASS","","7.7004","","3487.662"
"round330_ss-bushing-0010","PASS","6.3","","10",""
"round331_sleeve-ring-2018","PASS","60","","60",""
"round332_drill-jig-retainer","PASS","60","","13",""
"round333_inner-drill-locator","PASS","150","","12",""
"round334_piston-press-87040","PASS","56","","35",""
"round335_piston-press-88576","PASS","67","","35",""
"round336_piston-press-93696","PASS","77","","35",""
"round337_circular-ring-91648","PASS","388","","40",""
"round338_snap-ring-161280","PASS","203.7","","0.5",""
"round339_lifter-sleeve-ring-94x53","PASS","10.5","","10.5",""
"round34_O-ring_3mm_3100","PASS","","52.9352","","2287.281"
"round340_copper-ring-124928","PASS","12","","12",""
"round341_outer-drill-locator","PASS","150","","6",""
"round342_copper-ring-117760","PASS","25","","20",""
"round343_end-ring-104448","PASS","71.2","","71.2",""
"round344_drill-jig-ring-94208","PASS","60","","13",""
"round345_magnet-ring-83968","PASS","40.8","","4",""
"round346_teflon-ring-135680","PASS","100","","50",""
"round347_snap-ring-157696","PASS","8.45","","0.4",""
"round348_motor-liner-ring-180736","PASS","80.2","","35.1",""
"round349_snap-ring-178176","PASS","8.45","","0.4",""
"round35_KMB1201T_oil_seal","PASS","","21.3878","","6900.404"
"round350_sleeve-ring-103424","PASS","15","","15",""
"round351_purge-retainer-ring","PASS","50","","10",""
"round352_spring-washer-ring","PASS","18.5","","18.5",""
"round353_hoop-ring-126464","PASS","40","","5",""
"round354_sleeve-ring-116224","PASS","91","","91",""
"round355_retainer-ring-51200","SKIP","","","",""
"round356_sleeve-ring-113152","PASS","91","","91",""
"round357_8inch-ring-71680","PASS","200","","1.5",""
"round358_temp-probe-retainer-ring-88064","PASS","10","","2",""
"round359_PR47A-dummy-ring-130048","PASS","47.5","","4",""
"round36_KE-SP-016_ESR200_big","PASS","","34.6269","","7407.698"
"round360_limit-ring-113664","PASS","71.6","","6",""
"round361_end-ring-02-80384","PASS","89","","3",""
"round362_tilter-liner-ring-small-179200","PASS","31.5","","6.48",""
"round363_metal-ring-190976","PASS","87.8","","30",""
"round364_conductive-iron-ring-73728","PASS","135.5","","1.1",""
"round365_aluminum-ring-148480","PASS","52","","52",""
"round366_passive-ring-246272","PASS","120","","120",""
"round367_housing-airtest-ring2-164864","PASS","107.15","","6.8",""
"round368_housing-airtest-ring-168448","PASS","107.55","","6.8",""
"round369_conductive-ring-R1-76800","PASS","111.5","","1.1",""
"round37_KE-SP-017_ESR200_small","PASS","","20.1","","4956.805"
"round370_teflon-backup-MIR-100352","SKIP","","","",""
"round371_teflon-backup-MIR1-99840","SKIP","","","",""
"round372_teflon-backup-MIR2-122368","SKIP","","","",""
"round373_motor-liner-ring-mod-192000","PASS","80.2","","35.1",""
"round374_teflon-backup-ring1-122880","SKIP","","","",""
"round375_o-ring-99328","PASS","119.58","","144.98",""
"round376_washer-GB-181248","PASS","18","","18",""
"round377_spacer-17a0505-146432","PASS","44","","41.7",""
"round378_peek-spacer-266752","PASS","88.9","","88.9",""
"round379_bearing-spacer-181760","PASS","79.2","","79.2",""
"round38_KE-SP-004-P1_ESR100","PASS","","26.5222","","3120.158"
"round380_spring-bushing-P5000-v2-97792","PASS","29.4","","23.6",""
"round381_tube-107008","PASS","20","","45",""
"round382_belt-guide-bushing-117248","PASS","15","","15",""
"round383_timing-belt-bushing-119808","PASS","22","","22",""
"round384_end-plate-bearing-bushing-154112","PASS","52","","52",""
"round385_motor-copper-washer-171520","PASS","60","","1",""
"round386_SDE300-ss-sleeve-93184","PASS","112.6","","82",""
"round387_SDE300-ss-sleeve-94720","PASS","112","","72.3",""
